id,label,ground_truth
161_1,161,1
161_2,161,2
161_3,161,3
161_4,161,4
161_5,161,5
161_6,161,6
162_1,162,1
162_2,162,2
162_3,162,3
162_4,162,4
162_5,168,5
162_6,162,6
163_1,169,1
163_2,169,2
163_3,169,3
163_4,169,4
163_5,169,5
163_6,169,6
164_1,164,1
164_2,164,2
164_3,164,3
164_4,195,4
164_5,195,5
164_6,195,6
167_1,165,1
167_2,165,2
167_3,165,3
167_4,165,4
167_5,165,5
167_6,165,6
168_1,166,1
168_2,166,2
168_3,166,3
168_4,166,4
168_5,172,5
168_6,166,6
169_1,167,1
169_2,167,2
169_3,167,3
169_4,167,4
169_5,167,5
169_6,167,6
170_1,168,1
170_2,168,2
170_3,168,3
170_4,168,4
170_5,168,5
170_6,168,6
171_1,169,1
171_2,169,2
171_3,169,3
171_4,169,4
171_5,169,5
171_6,169,6
173_1,170,1
173_2,170,2
173_3,170,3
173_4,170,4
173_5,170,5
173_6,170,6
175_1,171,1
175_2,171,2
175_3,171,3
175_4,171,4
175_5,171,5
175_6,171,6
176_1,172,1
176_2,172,2
176_3,172,3
176_4,172,4
176_5,172,5
176_6,172,6
177_1,169,1
177_2,169,2
177_3,169,3
177_4,169,4
177_5,169,5
177_6,169,6
178_1,174,1
178_2,174,2
178_3,174,3
178_4,174,4
178_5,174,5
178_6,174,6
179_1,175,1
179_2,175,2
179_3,212,3
179_4,175,4
179_5,175,5
179_6,212,6
180_1,176,1
180_2,176,2
180_3,176,3
180_4,176,4
180_5,176,5
180_6,176,6
181_1,177,1
181_2,177,2
181_3,177,3
181_4,177,4
181_5,177,5
181_6,177,6
182_1,178,1
182_2,178,2
182_3,192,3
182_4,178,4
182_5,178,5
182_6,178,6
183_1,179,1
183_2,179,2
183_3,179,3
183_4,179,4
183_5,179,5
183_6,179,6
184_1,180,1
184_2,180,2
184_3,232,3
184_4,180,4
184_5,180,5
184_6,180,6
185_1,181,1
185_2,181,2
185_3,181,3
185_4,181,4
185_5,212,5
185_6,181,6
186_1,182,1
186_2,182,2
186_3,182,3
186_4,182,4
186_5,182,5
186_6,182,6
187_1,183,1
187_2,183,2
187_3,183,3
187_4,183,4
187_5,183,5
187_6,183,6
188_1,184,1
188_2,184,2
188_3,184,3
188_4,184,4
188_5,184,5
188_6,184,6
189_1,185,1
189_2,185,2
189_3,185,3
189_4,185,4
189_5,185,5
189_6,185,6
190_1,186,1
190_2,186,2
190_3,186,3
190_4,186,4
190_5,186,5
190_6,186,6
191_1,187,1
191_2,187,2
191_3,187,3
191_4,187,4
191_5,187,5
191_6,187,6
192_1,188,1
192_2,188,2
192_3,188,3
192_4,188,4
192_5,197,5
192_6,188,6
193_1,189,1
193_2,189,2
193_3,189,3
193_4,189,4
193_5,189,5
193_6,189,6
194_1,190,1
194_2,190,2
194_3,190,3
194_4,190,4
194_5,190,5
194_6,190,6
195_1,191,1
195_2,191,2
195_3,191,3
195_4,191,4
195_5,191,5
195_6,191,6
196_1,192,1
196_2,192,2
196_3,192,3
196_4,192,4
196_5,192,5
196_6,192,6
197_1,197,1
197_2,197,2
197_3,193,3
197_4,193,4
197_5,197,5
197_6,193,6
199_1,194,1
199_2,194,2
199_3,194,3
199_4,194,4
199_5,191,5
199_6,194,6
200_1,195,1
200_2,195,2
200_3,195,3
200_4,195,4
200_5,195,5
200_6,195,6
201_1,196,1
201_2,196,2
201_3,196,3
201_4,196,4
201_5,196,5
201_6,196,6
202_1,197,1
202_2,197,2
202_3,197,3
202_4,197,4
202_5,197,5
202_6,197,6
203_1,198,1
203_2,198,2
203_3,198,3
203_4,198,4
203_5,198,5
203_6,198,6
204_1,187,1
204_2,187,2
204_3,187,3
204_4,187,4
204_5,199,5
204_6,187,6
205_1,200,1
205_2,200,2
205_3,200,3
205_4,200,4
205_5,200,5
205_6,200,6
206_1,201,1
206_2,201,2
206_3,201,3
206_4,201,4
206_5,201,5
206_6,201,6
207_1,202,1
207_2,202,2
207_3,202,3
207_4,202,4
207_5,202,5
207_6,202,6
209_1,220,1
209_2,220,2
209_3,220,3
209_4,220,4
209_5,220,5
209_6,220,6
210_1,204,1
210_2,204,2
210_3,204,3
210_4,204,4
210_5,204,5
210_6,204,6
212_1,206,1
212_2,206,2
212_3,222,3
212_4,229,4
212_5,206,5
212_6,206,6
213_1,206,1
213_2,206,2
213_3,206,3
213_4,206,4
213_5,206,5
213_6,206,6
214_1,207,1
214_2,207,2
214_3,222,3
214_4,222,4
214_5,222,5
214_6,222,6
215_1,208,1
215_2,208,2
215_3,208,3
215_4,208,4
215_5,208,5
215_6,208,6
216_1,209,1
216_2,209,2
216_3,166,3
216_4,215,4
216_5,215,5
216_6,215,6
217_1,220,1
217_2,210,2
217_3,220,3
217_4,220,4
217_5,187,5
217_6,183,6
224_1,211,1
224_2,211,2
224_3,211,3
224_4,211,4
224_5,211,5
224_6,211,6
225_1,212,1
225_2,212,2
225_3,212,3
225_4,212,4
225_5,212,5
225_6,212,6
226_1,213,1
226_2,213,2
226_3,213,3
226_4,213,4
226_5,213,5
226_6,213,6
227_1,214,1
227_2,214,2
227_3,214,3
227_4,214,4
227_5,214,5
227_6,214,6
228_1,215,1
228_2,215,2
228_3,215,3
228_4,215,4
228_5,215,5
228_6,215,6
229_1,204,1
229_2,204,2
229_3,204,3
229_4,204,4
229_5,204,5
229_6,204,6
230_1,217,1
230_2,217,2
230_3,217,3
230_4,217,4
230_5,217,5
230_6,217,6
231_1,231,1
231_2,218,2
231_3,232,3
231_4,232,4
231_5,218,5
231_6,218,6
232_1,215,1
232_2,215,2
232_3,222,3
232_4,215,4
232_5,215,5
232_6,215,6
233_1,220,1
233_2,220,2
233_3,220,3
233_4,220,4
233_5,220,5
233_6,220,6
234_1,187,1
234_2,221,2
234_3,215,3
234_4,169,4
234_5,169,5
234_6,221,6
236_1,222,1
236_2,222,2
236_3,222,3
236_4,222,4
236_5,222,5
236_6,222,6
240_1,223,1
240_2,223,2
240_3,223,3
240_4,223,4
240_5,232,5
240_6,223,6
241_1,224,1
241_2,225,2
241_3,225,3
241_4,224,4
241_5,224,5
241_6,224,6
242_1,225,1
242_2,225,2
242_3,225,3
242_4,225,4
242_5,225,5
242_6,225,6
243_1,226,1
243_2,226,2
243_3,197,3
243_4,197,4
243_5,197,5
243_6,226,6
244_1,227,1
244_2,227,2
244_3,227,3
244_4,227,4
244_5,218,5
244_6,227,6
245_1,228,1
245_2,228,2
245_3,228,3
245_4,228,4
245_5,228,5
245_6,228,6
246_1,229,1
246_2,229,2
246_3,229,3
246_4,229,4
246_5,229,5
246_6,229,6
247_1,230,1
247_2,230,2
247_3,187,3
247_4,187,4
247_5,230,5
247_6,187,6
248_1,231,1
248_2,218,2
248_3,218,3
248_4,231,4
248_5,231,5
248_6,231,6
249_1,232,1
249_2,222,2
249_3,222,3
249_4,222,4
249_5,222,5
249_6,222,6
