epoch,train_loss,train_acc,real_val_loss,real_val_acc,font_val_loss,font_val_acc,score,seconds
1,2.0057,68.30,0.9386,94.44,1.7497,70.70,82.57,106
2,0.9329,96.20,0.9259,95.64,1.6217,74.74,85.19,77
3,0.9065,96.65,0.8890,96.55,1.5723,75.74,86.14,74
4,0.8819,97.01,0.8820,96.67,1.5650,76.17,86.42,79
5,0.8620,97.31,0.8631,96.14,1.4661,78.78,87.46,79
6,0.8467,97.64,0.8643,96.57,1.5180,78.02,87.29,79
7,0.8417,97.61,0.8542,96.93,1.4096,80.88,88.91,77
8,0.8388,97.69,0.8707,95.74,1.5253,76.69,86.22,77
9,0.8315,97.82,0.8479,96.92,1.4230,80.36,88.64,78
10,0.8251,98.04,0.8362,96.88,1.4265,79.73,88.30,77
11,0.8184,98.08,0.8561,96.21,1.5310,76.19,86.20,77
12,0.8164,98.18,0.8303,97.50,1.5240,76.41,86.96,81
13,0.8133,98.24,0.8278,97.23,1.4039,79.23,88.23,78
14,0.8091,98.27,0.8199,97.37,1.4192,80.88,89.13,79
15,0.8029,98.44,0.8381,96.30,1.4262,79.82,88.06,70
16,0.8007,98.47,0.8475,95.05,1.4019,80.84,87.94,70
17,0.7949,98.70,0.8322,96.33,1.3779,81.66,89.00,75
18,0.7916,98.71,0.8131,97.63,1.4162,79.93,88.78,79
19,0.7886,98.80,0.8066,97.82,1.3468,82.86,90.34,78
20,0.7859,98.91,0.8210,96.98,1.3439,82.79,89.88,79
21,0.7835,98.92,0.8132,97.35,1.3151,83.88,90.61,81
22,0.7813,99.00,0.8096,97.58,1.3108,83.57,90.58,79
23,0.7786,99.13,0.8120,97.27,1.3190,83.20,90.23,79
24,0.7787,99.09,0.8088,97.46,1.3239,83.18,90.32,70
25,0.7780,99.10,0.8101,97.43,1.3171,83.36,90.39,69
