epoch,train_loss,train_acc,real_val_loss,real_val_acc,font_val_loss,font_val_acc,score,seconds
1,2.0677,67.43,,,,,,65
2,0.9132,96.57,,,,,,46
3,0.8920,97.02,,,,,,46
4,0.8667,97.56,,,,,,46
5,0.8483,97.80,,,,,,46
6,0.8380,97.97,,,,,,47
7,0.8323,97.95,,,,,,47
8,0.8259,98.13,,,,,,46
9,0.8215,98.23,,,,,,46
10,0.8157,98.30,,,,,,46
11,0.8092,98.45,,,,,,46
12,0.8118,98.37,,,,,,46
13,0.8055,98.46,,,,,,46
14,0.7998,98.65,,,,,,47
15,0.7980,98.69,,,,,,46
16,0.7931,98.83,,,,,,46
17,0.7900,98.85,,,,,,46
18,0.7863,98.96,,,,,,46
19,0.7851,98.93,,,,,,46
20,0.7811,99.05,,,,,,46
21,0.7810,99.02,,,,,,46
22,0.7793,99.08,,,,,,46
23,0.7792,99.13,,,,,,46
24,0.7763,99.14,,,,,,46
25,0.7755,99.23,,,,,,46
